timestamps,TP9,AF7,AF8,TP10,Right AUX
1587019718.643,72.266,36.133,31.250,61.523,20.020
1587019718.647,14.160,38.086,37.598,13.184,2.930
1587019718.651,12.695,33.691,40.527,15.625,49.316
1587019718.655,63.965,28.320,37.598,62.012,48.828
1587019718.658,61.523,26.367,40.527,61.035,95.703
1587019718.662,-1.465,28.809,46.387,9.766,89.355
1587019718.666,11.719,31.250,46.387,4.395,59.082
1587019718.670,65.430,28.320,42.480,54.688,68.359
1587019718.674,72.266,28.320,41.504,70.801,38.574
1587019718.678,26.855,33.691,43.945,20.020,5.371
1587019718.682,-10.254,34.180,42.480,-7.812,2.930
1587019718.686,40.527,31.738,38.574,33.203,8.789
1587019718.690,81.055,31.250,38.086,66.895,-24.902
1587019718.694,37.109,33.203,41.016,32.715,36.621
1587019718.697,-2.930,37.109,40.527,-8.301,33.691
1587019718.701,34.180,32.227,35.645,14.648,0.488
1587019718.705,85.938,29.785,31.738,64.453,44.434
1587019718.709,50.781,33.203,35.645,45.898,48.828
1587019718.713,-4.883,35.645,39.062,-3.906,54.688
1587019718.717,9.277,35.156,37.109,5.859,22.949
1587019718.721,64.453,32.715,32.715,59.570,23.438
1587019718.725,67.871,34.180,30.762,63.477,44.434
1587019718.729,2.930,35.645,33.203,9.766,-0.977
1587019718.733,1.953,35.645,31.738,-5.859,-0.977
1587019718.737,66.895,37.598,29.785,45.410,39.551
1587019718.740,81.055,39.551,31.738,71.289,26.855
1587019718.744,21.484,37.598,36.133,26.367,34.180
1587019718.748,-7.324,38.574,36.133,-6.348,24.902
1587019718.752,43.945,36.133,32.715,30.762,-18.555
1587019718.756,87.891,31.250,32.715,71.777,22.949
1587019718.760,45.410,34.180,37.598,44.434,68.359
1587019718.764,-4.395,34.668,40.039,0.977,41.016
1587019718.768,27.344,34.180,36.621,21.973,33.203
1587019718.772,81.055,34.180,35.645,74.707,65.918
1587019718.776,57.129,37.109,37.598,61.523,13.672
1587019718.780,0.488,40.039,40.527,6.836,-12.695
1587019718.783,16.113,40.039,39.062,8.789,39.062
1587019718.787,69.336,33.691,36.133,63.965,36.133
1587019718.791,53.223,34.668,38.086,75.684,56.152
1587019718.795,1.465,40.527,39.062,21.973,59.082
1587019718.799,-0.488,39.062,38.574,3.906,46.875
1587019718.803,56.641,34.668,34.668,48.340,43.945
1587019718.807,83.008,35.645,33.691,74.219,70.312
1587019718.811,22.461,40.527,38.574,33.691,75.195
1587019718.815,-7.812,39.062,38.086,-2.441,21.484
1587019718.819,46.387,38.086,33.691,32.227,-4.883
1587019718.822,94.238,39.062,28.809,76.660,49.316
1587019718.826,55.176,41.504,30.762,47.852,40.039
1587019718.830,1.953,41.992,33.203,2.441,-10.254
1587019718.834,34.668,40.039,30.762,24.902,-26.367
1587019718.838,94.238,39.062,28.320,76.660,-24.902
1587019718.842,78.613,39.551,33.203,65.430,19.043
1587019718.846,17.578,38.574,38.574,14.648,11.719
1587019718.850,18.066,38.086,36.621,12.695,7.812
1587019718.854,81.543,34.668,34.180,62.012,58.105
1587019718.858,82.520,33.691,34.668,74.707,81.543
1587019718.862,21.484,39.062,38.086,24.902,35.156
1587019718.865,2.441,41.504,40.527,-1.953,22.461
